Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,city,lat,lng
318,2020-01-15 07:00:00,2020-01-14 05:00:00,2020-01-14 19:04:00,Nashik,106,COUNTERFEITING,67,M,,Other Crime,5,No,,,,
326,2020-01-17 07:00:00,2020-01-14 13:00:00,2020-01-15 05:46:00,Visakhapatnam,344,VANDALISM,45,F,Explosives,Other Crime,9,No,,,,
354,2020-01-16 12:00:00,2020-01-15 17:00:00,2020-01-16 05:24:00,Vasai,272,EXTORTION,78,F,Explosives,Other Crime,12,Yes,20-03-2020 12:00,,,
355,2020-01-16 19:00:00,2020-01-15 18:00:00,2020-01-16 00:09:00,Nashik,226,HOMICIDE,54,F,Other,Other Crime,8,No,,,,
367,2020-01-16 19:00:00,2020-01-16 06:00:00,2020-01-16 08:38:00,Nashik,511,ILLEGAL POSSESSION,59,M,Knife,Other Crime,13,No,,,,
463,2020-01-21 19:00:00,2020-01-20 06:00:00,2020-01-20 22:13:00,Visakhapatnam,441,COUNTERFEITING,54,M,Blunt Object,Other Crime,5,Yes,14-03-2020 19:00,,,
514,2020-01-25 07:00:00,2020-01-22 09:00:00,2020-01-22 22:27:00,Nashik,510,COUNTERFEITING,62,M,Other,Other Crime,6,Yes,29-02-2020 07:00,,,
528,2020-01-25 04:00:00,2020-01-22 23:00:00,2020-01-23 22:38:00,Vasai,137,COUNTERFEITING,38,F,Poison,Other Crime,9,Yes,21-03-2020 04:00,,,
532,2020-01-23 18:00:00,2020-01-23 03:00:00,2020-01-23 13:37:00,Visakhapatnam,466,DOMESTIC VIOLENCE,33,M,Other,Violent Crime,4,Yes,11-02-2020 18:00,,,
571,2020-01-27 02:00:00,2020-01-24 18:00:00,2020-01-25 14:52:00,Visakhapatnam,495,CYBERCRIME,21,F,Knife,Other Crime,18,Yes,27-03-2020 02:00,,,
573,2020-01-27 15:00:00,2020-01-24 20:00:00,2020-01-25 04:57:00,Vasai,386,VEHICLE - STOLEN,44,F,Explosives,Violent Crime,2,No,,,,
703,2020-02-01 19:00:00,2020-01-30 06:00:00,2020-01-30 21:37:00,Visakhapatnam,301,ROBBERY,28,F,Knife,Violent Crime,15,Yes,20-06-2020 19:00,,,
762,2020-02-03 13:00:00,2020-02-01 17:00:00,2020-02-01 20:09:00,Visakhapatnam,267,ARSON,46,F,,Fire Accident,6,No,,,,
777,2020-02-03 09:00:00,2020-02-02 08:00:00,2020-02-02 17:03:00,Visakhapatnam,220,FRAUD,70,F,Explosives,Other Crime,1,Yes,23-03-2020 09:00,,,
831,2020-02-04 15:00:00,2020-02-04 14:00:00,2020-02-04 17:02:00,Nashik,597,TRAFFIC VIOLATION,67,F,Firearm,Traffic Fatality,9,Yes,25-02-2020 15:00,,,
842,2020-02-05 17:00:00,2020-02-05 01:00:00,2020-02-05 08:44:00,Visakhapatnam,476,ARSON,63,F,Poison,Fire Accident,13,Yes,02-04-2020 17:00,,,
848,2020-02-07 22:00:00,2020-02-05 07:00:00,2020-02-05 11:47:00,Nashik,489,SEXUAL ASSAULT,27,F,,Violent Crime,19,No,,,,
861,2020-02-06 07:00:00,2020-02-05 20:00:00,2020-02-06 07:48:00,Nashik,569,DOMESTIC VIOLENCE,45,F,Knife,Violent Crime,5,Yes,15-02-2020 07:00,,,
890,2020-02-07 15:00:00,2020-02-07 01:00:00,2020-02-07 22:39:00,Vasai,207,ROBBERY,19,M,Firearm,Violent Crime,12,Yes,06-05-2020 15:00,,,
932,2020-02-10 06:00:00,2020-02-08 19:00:00,2020-02-09 13:45:00,Vasai,268,DOMESTIC VIOLENCE,37,F,Firearm,Violent Crime,18,No,,,,
1090,2020-02-17 04:00:00,2020-02-15 09:00:00,2020-02-15 09:41:00,Vasai,119,HOMICIDE,79,F,Knife,Other Crime,6,Yes,18-08-2020 04:00,,,
1096,2020-02-17 10:00:00,2020-02-15 15:00:00,2020-02-15 20:07:00,Vasai,207,FIREARM OFFENSE,36,F,Blunt Object,Fire Accident,13,Yes,09-03-2020 10:00,,,
1176,2020-02-20 19:00:00,2020-02-18 23:00:00,2020-02-19 08:08:00,Visakhapatnam,119,EXTORTION,10,F,Blunt Object,Other Crime,3,No,,,,
1180,2020-02-21 14:00:00,2020-02-19 03:00:00,2020-02-19 20:39:00,Nashik,106,COUNTERFEITING,10,F,,Other Crime,11,Yes,18-03-2020 14:00,,,
1191,2020-02-20 12:00:00,2020-02-19 14:00:00,2020-02-19 21:05:00,Visakhapatnam,561,CYBERCRIME,76,F,Other,Other Crime,10,No,,,,
1227,2020-02-22 16:00:00,2020-02-21 02:00:00,2020-02-21 02:59:00,Vasai,565,EXTORTION,62,M,Other,Other Crime,6,No,,,,
1279,2020-02-24 00:00:00,2020-02-23 06:00:00,2020-02-23 16:21:00,Nashik,296,KIDNAPPING,20,M,Other,Other Crime,12,No,,,,
1292,2020-02-24 09:00:00,2020-02-23 19:00:00,2020-02-24 14:16:00,Nashik,250,ASSAULT,78,F,,Violent Crime,12,Yes,23-03-2020 09:00,,,
1293,2020-02-23 23:00:00,2020-02-23 20:00:00,2020-02-24 15:07:00,Visakhapatnam,496,ILLEGAL POSSESSION,11,F,Blunt Object,Other Crime,5,Yes,26-03-2020 23:00,,,
1343,2020-02-26 16:00:00,2020-02-25 22:00:00,2020-02-26 11:51:00,Visakhapatnam,537,ROBBERY,21,F,Other,Violent Crime,17,No,,,,
1413,2020-03-01 02:00:00,2020-02-28 20:00:00,2020-02-29 04:29:00,Visakhapatnam,512,HOMICIDE,24,F,,Other Crime,13,No,,,,
1459,2020-03-03 09:00:00,2020-03-01 18:00:00,2020-03-02 10:10:00,Vasai,393,FIREARM OFFENSE,40,M,,Fire Accident,11,No,,,,
1478,2020-03-04 22:00:00,2020-03-02 13:00:00,2020-03-03 04:58:00,Visakhapatnam,568,KIDNAPPING,67,M,Blunt Object,Other Crime,11,No,,,,
1483,2020-03-04 13:00:00,2020-03-02 18:00:00,2020-03-03 08:25:00,Visakhapatnam,480,HOMICIDE,21,F,Firearm,Other Crime,4,Yes,31-07-2021 13:00,,,
1524,2020-03-07 08:00:00,2020-03-04 11:00:00,2020-03-05 00:55:00,Vasai,172,ROBBERY,51,F,Poison,Violent Crime,2,Yes,11-07-2020 08:00,,,
1547,2020-03-06 19:00:00,2020-03-05 10:00:00,2020-03-05 17:14:00,Visakhapatnam,263,DRUG OFFENSE,64,F,Explosives,Other Crime,1,Yes,08-04-2020 19:00,,,
1569,2020-03-07 19:00:00,2020-03-06 08:00:00,2020-03-07 02:21:00,Visakhapatnam,452,VANDALISM,77,F,Blunt Object,Other Crime,19,Yes,18-05-2020 19:00,,,
1586,2020-03-07 22:00:00,2020-03-07 01:00:00,2020-03-07 19:34:00,Visakhapatnam,344,ILLEGAL POSSESSION,66,F,,Other Crime,9,Yes,26-04-2020 22:00,,,
1593,2020-03-07 21:00:00,2020-03-07 08:00:00,2020-03-07 13:49:00,Visakhapatnam,215,HOMICIDE,59,F,Blunt Object,Other Crime,19,No,,,,
1606,2020-03-08 01:00:00,2020-03-07 21:00:00,2020-03-08 17:25:00,Visakhapatnam,578,KIDNAPPING,14,M,Knife,Other Crime,15,No,,,,
1616,2020-03-09 07:00:00,2020-03-08 07:00:00,2020-03-08 10:51:00,Visakhapatnam,238,EXTORTION,21,F,Explosives,Other Crime,1,Yes,05-04-2020 07:00,,,
1617,2020-03-11 00:00:00,2020-03-08 08:00:00,2020-03-08 23:30:00,Visakhapatnam,372,DRUG OFFENSE,11,F,Poison,Other Crime,10,No,,,,
1623,2020-03-09 15:00:00,2020-03-08 14:00:00,2020-03-08 17:02:00,Nashik,485,IDENTITY THEFT,50,F,Other,Violent Crime,10,No,,,,
1680,2020-03-11 20:00:00,2020-03-10 23:00:00,2020-03-11 17:51:00,Nashik,201,ASSAULT,67,F,Explosives,Violent Crime,16,Yes,20-03-2020 20:00,,,
1682,2020-03-11 20:00:00,2020-03-11 01:00:00,2020-03-11 17:55:00,Nashik,365,SHOPLIFTING,18,F,Blunt Object,Other Crime,2,Yes,21-04-2020 20:00,,,
1688,2020-03-14 01:00:00,2020-03-11 07:00:00,2020-03-11 19:17:00,Nashik,556,VANDALISM,45,F,Poison,Other Crime,13,No,,,,
1689,2020-03-12 19:00:00,2020-03-11 08:00:00,2020-03-11 12:29:00,Vasai,213,VANDALISM,47,F,Knife,Other Crime,17,No,,,,
1694,2020-03-13 12:00:00,2020-03-11 13:00:00,2020-03-12 01:37:00,Nashik,593,ROBBERY,18,M,Explosives,Violent Crime,9,Yes,06-05-2020 12:00,,,
1706,2020-03-12 11:00:00,2020-03-12 01:00:00,2020-03-12 23:42:00,Visakhapatnam,180,ILLEGAL POSSESSION,70,F,Explosives,Other Crime,2,Yes,13-04-2020 11:00,,,
1750,2020-03-15 08:00:00,2020-03-13 21:00:00,2020-03-14 19:18:00,Vasai,185,KIDNAPPING,42,M,Other,Other Crime,14,No,,,,
1789,2020-03-18 01:00:00,2020-03-15 12:00:00,2020-03-16 09:41:00,Visakhapatnam,332,ARSON,36,F,Explosives,Fire Accident,5,Yes,02-06-2020 01:00,,,
1829,2020-03-18 09:00:00,2020-03-17 04:00:00,2020-03-17 20:23:00,Visakhapatnam,193,VANDALISM,30,F,Firearm,Other Crime,8,No,,,,
1831,2020-03-19 19:00:00,2020-03-17 06:00:00,2020-03-17 23:57:00,Visakhapatnam,439,DRUG OFFENSE,51,M,Explosives,Other Crime,9,No,,,,
1888,2020-03-21 19:00:00,2020-03-19 15:00:00,2020-03-19 20:56:00,Nashik,430,ASSAULT,46,F,Knife,Violent Crime,16,No,,,,
2024,2020-03-27 06:00:00,2020-03-25 07:00:00,2020-03-26 05:06:00,Visakhapatnam,213,SHOPLIFTING,26,F,,Other Crime,12,Yes,29-05-2020 06:00,,,
2041,2020-03-27 05:00:00,2020-03-26 00:00:00,2020-03-26 21:52:00,Vasai,274,KIDNAPPING,33,F,Knife,Other Crime,3,Yes,17-05-2020 05:00,,,
2080,2020-03-28 00:00:00,2020-03-27 15:00:00,2020-03-27 22:42:00,Nashik,212,SEXUAL ASSAULT,68,F,Firearm,Violent Crime,13,Yes,21-10-2021 00:00,,,
2081,2020-03-28 20:00:00,2020-03-27 16:00:00,2020-03-28 15:21:00,Nashik,323,DRUG OFFENSE,17,F,Explosives,Other Crime,3,No,,,,
2143,2020-03-31 06:00:00,2020-03-30 06:00:00,2020-03-30 13:50:00,Nashik,167,DRUG OFFENSE,58,M,,Other Crime,17,Yes,17-04-2020 06:00,,,
2161,2020-04-01 22:00:00,2020-03-31 00:00:00,2020-03-31 06:08:00,Vasai,486,EXTORTION,64,F,Blunt Object,Other Crime,9,Yes,01-05-2020 22:00,,,
2172,2020-04-01 00:00:00,2020-03-31 11:00:00,2020-04-01 05:45:00,Nashik,312,SEXUAL ASSAULT,75,F,Other,Violent Crime,10,No,,,,
2197,2020-04-03 00:00:00,2020-04-01 12:00:00,2020-04-02 05:29:00,Visakhapatnam,114,FIREARM OFFENSE,45,M,,Fire Accident,15,No,,,,
2200,2020-04-03 08:00:00,2020-04-01 15:00:00,2020-04-01 20:01:00,Visakhapatnam,169,CYBERCRIME,11,F,Knife,Other Crime,7,No,,,,
2216,2020-04-04 23:00:00,2020-04-02 07:00:00,2020-04-02 20:30:00,Visakhapatnam,219,ROBBERY,73,F,Knife,Violent Crime,3,Yes,30-07-2020 23:00,,,
2253,2020-04-05 20:00:00,2020-04-03 20:00:00,2020-04-04 05:07:00,Vasai,286,FRAUD,58,M,Blunt Object,Other Crime,11,No,,,,
2420,2020-04-11 06:00:00,2020-04-10 19:00:00,2020-04-10 21:14:00,Visakhapatnam,265,IDENTITY THEFT,65,F,Other,Violent Crime,8,No,,,,
2488,2020-04-15 19:00:00,2020-04-13 15:00:00,2020-04-14 14:20:00,Visakhapatnam,127,SHOPLIFTING,21,F,Other,Other Crime,8,No,,,,
2512,2020-04-15 05:00:00,2020-04-14 15:00:00,2020-04-14 23:48:00,Nashik,540,KIDNAPPING,25,F,,Other Crime,16,No,,,,
2521,2020-04-16 06:00:00,2020-04-15 00:00:00,2020-04-15 16:42:00,Vasai,538,SHOPLIFTING,18,F,,Other Crime,2,No,,,,
2640,2020-04-20 23:00:00,2020-04-19 23:00:00,2020-04-20 21:31:00,Nashik,183,HOMICIDE,60,F,Explosives,Other Crime,17,Yes,13-11-2021 23:00,,,
2664,2020-04-23 08:00:00,2020-04-20 23:00:00,2020-04-21 16:02:00,Visakhapatnam,531,TRAFFIC VIOLATION,66,F,,Traffic Fatality,10,Yes,18-05-2020 08:00,,,
2691,2020-04-22 22:00:00,2020-04-22 02:00:00,2020-04-22 12:29:00,Visakhapatnam,396,DOMESTIC VIOLENCE,67,F,Knife,Violent Crime,7,Yes,19-06-2020 22:00,,,
2771,2020-04-27 03:00:00,2020-04-25 10:00:00,2020-04-26 08:31:00,Nashik,597,VANDALISM,10,F,,Other Crime,10,No,,,,
2778,2020-04-27 08:00:00,2020-04-25 17:00:00,2020-04-25 23:39:00,Vasai,153,DRUG OFFENSE,43,M,Poison,Other Crime,18,No,,,,
2781,2020-04-27 13:00:00,2020-04-25 20:00:00,2020-04-26 06:02:00,Nashik,385,SHOPLIFTING,37,F,,Other Crime,7,No,,,,
2824,2020-04-29 16:00:00,2020-04-27 15:00:00,2020-04-27 21:16:00,Nashik,500,CYBERCRIME,34,M,Poison,Other Crime,19,No,,,,
2879,2020-05-01 15:00:00,2020-04-29 22:00:00,2020-04-30 08:40:00,Vasai,408,ILLEGAL POSSESSION,79,M,Explosives,Other Crime,17,Yes,10-07-2020 15:00,,,
2939,2020-05-03 09:00:00,2020-05-02 10:00:00,2020-05-02 11:40:00,Vasai,444,IDENTITY THEFT,32,M,,Violent Crime,13,Yes,20-05-2020 09:00,,,
2950,2020-05-04 21:00:00,2020-05-02 21:00:00,2020-05-02 23:41:00,Visakhapatnam,362,VEHICLE - STOLEN,75,F,Blunt Object,Violent Crime,5,Yes,14-06-2020 21:00,,,
2962,2020-05-03 16:00:00,2020-05-03 09:00:00,2020-05-04 07:14:00,Nashik,237,HOMICIDE,21,F,,Other Crime,14,Yes,09-09-2021 16:00,,,
2979,2020-05-05 09:00:00,2020-05-04 02:00:00,2020-05-04 13:04:00,Visakhapatnam,367,ARSON,15,F,Blunt Object,Fire Accident,7,Yes,30-07-2020 09:00,,,
2984,2020-05-06 04:00:00,2020-05-04 07:00:00,2020-05-05 05:25:00,Visakhapatnam,143,SEXUAL ASSAULT,76,F,Blunt Object,Violent Crime,15,Yes,09-04-2021 04:00,,,
2986,2020-05-04 17:00:00,2020-05-04 09:00:00,2020-05-04 16:37:00,Visakhapatnam,470,COUNTERFEITING,23,M,Poison,Other Crime,13,Yes,22-06-2020 17:00,,,
3049,2020-05-08 09:00:00,2020-05-07 00:00:00,2020-05-07 04:52:00,Visakhapatnam,383,SEXUAL ASSAULT,54,M,Explosives,Violent Crime,2,Yes,26-03-2022 09:00,,,
3083,2020-05-10 10:00:00,2020-05-08 10:00:00,2020-05-08 14:47:00,Visakhapatnam,432,VEHICLE - STOLEN,66,F,Knife,Violent Crime,15,Yes,02-07-2020 10:00,,,
3085,2020-05-11 04:00:00,2020-05-08 12:00:00,2020-05-08 13:19:00,Vasai,227,EXTORTION,34,F,Explosives,Other Crime,13,Yes,08-08-2020 04:00,,,
3101,2020-05-11 00:00:00,2020-05-09 04:00:00,2020-05-10 00:02:00,Vasai,507,ASSAULT,21,M,Blunt Object,Violent Crime,8,No,,,,
3118,2020-05-09 22:00:00,2020-05-09 21:00:00,2020-05-10 02:55:00,Visakhapatnam,294,TRAFFIC VIOLATION,39,F,Other,Traffic Fatality,19,Yes,16-05-2020 22:00,,,
3119,2020-05-11 00:00:00,2020-05-09 22:00:00,2020-05-10 05:39:00,Visakhapatnam,326,DOMESTIC VIOLENCE,77,F,Other,Violent Crime,8,No,,,,
3140,2020-05-11 05:00:00,2020-05-10 19:00:00,2020-05-11 17:52:00,Visakhapatnam,255,ARSON,51,F,Explosives,Fire Accident,17,No,,,,
3229,2020-05-16 23:00:00,2020-05-14 12:00:00,2020-05-15 04:19:00,Visakhapatnam,487,VANDALISM,52,M,Blunt Object,Other Crime,2,Yes,13-07-2020 23:00,,,
3270,2020-05-17 22:00:00,2020-05-16 05:00:00,2020-05-16 11:59:00,Nashik,543,KIDNAPPING,63,M,Other,Other Crime,19,Yes,30-05-2020 22:00,,,
3275,2020-05-17 02:00:00,2020-05-16 10:00:00,2020-05-16 11:27:00,Vasai,484,ASSAULT,65,F,Knife,Violent Crime,7,Yes,13-07-2020 02:00,,,
3379,2020-05-22 03:00:00,2020-05-20 18:00:00,2020-05-20 19:12:00,Nashik,480,COUNTERFEITING,26,F,Other,Other Crime,17,Yes,24-06-2020 03:00,,,
3382,2020-05-23 02:00:00,2020-05-20 21:00:00,2020-05-21 14:15:00,Visakhapatnam,550,VANDALISM,30,M,,Other Crime,1,No,,,,
3385,2020-05-22 23:00:00,2020-05-21 00:00:00,2020-05-21 20:27:00,Visakhapatnam,577,CYBERCRIME,74,M,Knife,Other Crime,1,No,,,,
3391,2020-05-24 00:00:00,2020-05-21 06:00:00,2020-05-21 19:40:00,Visakhapatnam,545,KIDNAPPING,15,F,,Other Crime,14,Yes,19-07-2020 00:00,,,
3410,2020-05-22 16:00:00,2020-05-22 01:00:00,2020-05-22 15:17:00,Nashik,142,TRAFFIC VIOLATION,29,F,Explosives,Traffic Fatality,18,No,,,,
3432,2020-05-23 04:00:00,2020-05-22 23:00:00,2020-05-23 22:49:00,Vasai,574,VANDALISM,65,M,Blunt Object,Other Crime,16,No,,,,
3437,2020-05-24 16:00:00,2020-05-23 04:00:00,2020-05-23 08:10:00,Visakhapatnam,327,ARSON,50,M,Firearm,Fire Accident,8,Yes,01-07-2020 16:00,,,
3484,2020-05-26 15:00:00,2020-05-25 03:00:00,2020-05-25 06:44:00,Visakhapatnam,261,VANDALISM,76,M,Poison,Other Crime,10,Yes,29-07-2020 15:00,,,
3600,2020-05-30 11:00:00,2020-05-29 23:00:00,2020-05-30 17:43:00,Nashik,160,BURGLARY,24,F,Other,Other Crime,16,Yes,23-07-2020 11:00,,,
3608,2020-06-01 09:00:00,2020-05-30 07:00:00,2020-05-30 08:22:00,Visakhapatnam,230,ROBBERY,26,F,Poison,Violent Crime,4,Yes,15-09-2020 09:00,,,
3617,2020-06-02 11:00:00,2020-05-30 16:00:00,2020-05-31 10:46:00,Vasai,531,HOMICIDE,42,M,Other,Other Crime,6,Yes,06-05-2022 11:00,,,
3624,2020-06-01 18:00:00,2020-05-30 23:00:00,2020-05-31 07:28:00,Visakhapatnam,535,VANDALISM,77,F,,Other Crime,11,No,,,,
3648,2020-06-01 04:00:00,2020-05-31 23:00:00,2020-06-01 20:00:00,Visakhapatnam,561,SHOPLIFTING,73,F,Knife,Other Crime,3,No,,,,
3653,2020-06-03 00:00:00,2020-06-01 04:00:00,2020-06-02 00:22:00,Visakhapatnam,458,CYBERCRIME,54,F,Knife,Other Crime,14,Yes,11-08-2020 00:00,,,
3663,2020-06-03 14:00:00,2020-06-01 14:00:00,2020-06-02 00:30:00,Visakhapatnam,405,KIDNAPPING,50,M,Explosives,Other Crime,12,No,,,,
3664,2020-06-03 14:00:00,2020-06-01 15:00:00,2020-06-02 10:58:00,Nashik,527,KIDNAPPING,25,M,Firearm,Other Crime,15,No,,,,
3673,2020-06-02 19:00:00,2020-06-02 00:00:00,2020-06-02 03:57:00,Visakhapatnam,354,CYBERCRIME,28,F,Knife,Other Crime,8,Yes,25-08-2020 19:00,,,
3691,2020-06-04 11:00:00,2020-06-02 18:00:00,2020-06-03 15:42:00,Visakhapatnam,499,SHOPLIFTING,45,F,Knife,Other Crime,19,No,,,,
3700,2020-06-03 18:00:00,2020-06-03 03:00:00,2020-06-03 20:23:00,Visakhapatnam,453,KIDNAPPING,54,F,Poison,Other Crime,13,No,,,,
3722,2020-06-04 13:00:00,2020-06-04 01:00:00,2020-06-04 23:44:00,Visakhapatnam,216,KIDNAPPING,39,F,Firearm,Other Crime,3,Yes,08-08-2020 13:00,,,
3732,2020-06-05 19:00:00,2020-06-04 11:00:00,2020-06-04 11:45:00,Visakhapatnam,130,COUNTERFEITING,59,M,Poison,Other Crime,18,No,,,,
3753,2020-06-07 13:00:00,2020-06-05 08:00:00,2020-06-06 04:08:00,Vasai,154,SHOPLIFTING,11,F,,Other Crime,3,No,,,,
3764,2020-06-08 16:00:00,2020-06-05 19:00:00,2020-06-06 05:25:00,Visakhapatnam,396,PUBLIC INTOXICATION,18,M,Poison,Other Crime,2,Yes,09-06-2020 16:00,,,
3771,2020-06-08 06:00:00,2020-06-06 02:00:00,2020-06-07 01:35:00,Vasai,431,VEHICLE - STOLEN,36,F,,Violent Crime,19,Yes,28-06-2020 06:00,,,
3814,2020-06-08 04:00:00,2020-06-07 21:00:00,2020-06-08 18:51:00,Visakhapatnam,372,KIDNAPPING,61,F,Explosives,Other Crime,6,Yes,27-07-2020 04:00,,,
3836,2020-06-09 11:00:00,2020-06-08 19:00:00,2020-06-09 11:40:00,Nashik,536,FIREARM OFFENSE,25,M,Firearm,Fire Accident,10,Yes,21-06-2020 11:00,,,
3847,2020-06-10 04:00:00,2020-06-09 06:00:00,2020-06-10 04:55:00,Visakhapatnam,104,FIREARM OFFENSE,19,F,Poison,Fire Accident,7,Yes,29-07-2020 04:00,,,
3851,2020-06-11 06:00:00,2020-06-09 10:00:00,2020-06-10 03:10:00,Nashik,228,FIREARM OFFENSE,49,F,Knife,Fire Accident,2,Yes,26-08-2020 06:00,,,
3920,2020-06-12 12:00:00,2020-06-12 07:00:00,2020-06-12 12:50:00,Vasai,128,ARSON,71,F,Poison,Fire Accident,3,Yes,23-06-2020 12:00,,,
3949,2020-06-15 20:00:00,2020-06-13 12:00:00,2020-06-13 19:24:00,Visakhapatnam,568,PUBLIC INTOXICATION,41,F,Poison,Other Crime,11,Yes,01-07-2020 20:00,,,
3983,2020-06-15 01:00:00,2020-06-14 22:00:00,2020-06-15 01:17:00,Visakhapatnam,165,BURGLARY,68,F,Explosives,Other Crime,12,No,,,,
3998,2020-06-18 02:00:00,2020-06-15 13:00:00,2020-06-15 18:08:00,Visakhapatnam,289,FRAUD,47,F,Blunt Object,Other Crime,19,Yes,04-09-2020 02:00,,,
4014,2020-06-17 00:00:00,2020-06-16 05:00:00,2020-06-17 03:37:00,Visakhapatnam,212,TRAFFIC VIOLATION,78,M,Firearm,Traffic Fatality,2,Yes,25-06-2020 00:00,,,
4043,2020-06-18 21:00:00,2020-06-17 10:00:00,2020-06-17 12:43:00,Nashik,520,EXTORTION,27,M,Blunt Object,Other Crime,8,No,,,,
4053,2020-06-18 14:00:00,2020-06-17 20:00:00,2020-06-18 11:22:00,Visakhapatnam,295,TRAFFIC VIOLATION,49,M,Explosives,Traffic Fatality,19,No,,,,
4055,2020-06-20 00:00:00,2020-06-17 22:00:00,2020-06-18 18:28:00,Visakhapatnam,366,ROBBERY,21,F,Other,Violent Crime,13,Yes,02-11-2020 00:00,,,
4059,2020-06-19 01:00:00,2020-06-18 02:00:00,2020-06-18 19:06:00,Nashik,378,ASSAULT,60,M,Firearm,Violent Crime,14,No,,,,
4081,2020-06-21 02:00:00,2020-06-19 00:00:00,2020-06-19 16:52:00,Vasai,511,COUNTERFEITING,13,F,Explosives,Other Crime,8,No,,,,
4103,2020-06-20 12:00:00,2020-06-19 22:00:00,2020-06-20 10:05:00,Visakhapatnam,214,BURGLARY,54,F,,Other Crime,15,No,,,,
4148,2020-06-24 10:00:00,2020-06-21 19:00:00,2020-06-21 19:37:00,Visakhapatnam,216,IDENTITY THEFT,18,F,Firearm,Violent Crime,17,Yes,21-09-2020 10:00,,,
4232,2020-06-26 15:00:00,2020-06-25 07:00:00,2020-06-26 03:21:00,Vasai,273,FIREARM OFFENSE,71,M,Knife,Fire Accident,19,No,,,,
4245,2020-06-26 08:00:00,2020-06-25 20:00:00,2020-06-26 09:20:00,Vasai,218,SHOPLIFTING,38,F,Knife,Other Crime,2,No,,,,
4258,2020-06-28 04:00:00,2020-06-26 09:00:00,2020-06-26 20:48:00,Visakhapatnam,497,ROBBERY,38,M,Firearm,Violent Crime,4,Yes,28-10-2020 04:00,,,
4305,2020-06-29 06:00:00,2020-06-28 08:00:00,2020-06-28 15:34:00,Visakhapatnam,589,DOMESTIC VIOLENCE,66,M,Knife,Violent Crime,18,No,,,,
4307,2020-06-29 09:00:00,2020-06-28 10:00:00,2020-06-28 16:12:00,Vasai,285,DOMESTIC VIOLENCE,40,F,Blunt Object,Violent Crime,12,No,,,,
4346,2020-07-02 01:00:00,2020-06-30 01:00:00,2020-06-30 23:23:00,Nashik,143,ARSON,32,F,Explosives,Fire Accident,15,Yes,25-09-2020 01:00,,,
4359,2020-07-02 20:00:00,2020-06-30 14:00:00,2020-07-01 12:19:00,Visakhapatnam,129,VEHICLE - STOLEN,13,F,Other,Violent Crime,3,Yes,11-07-2020 20:00,,,
4376,2020-07-03 19:00:00,2020-07-01 07:00:00,2020-07-02 05:44:00,Nashik,202,SEXUAL ASSAULT,43,M,Firearm,Violent Crime,7,Yes,14-01-2022 19:00,,,
